#name              kp       xarc       yarc   xerr   yerr         vx         vy     vxerr     vyerr         t0   use      r2d
S065_19_2.7      19.1   -2.36872    1.31598    0.0    0.0    -1.8907    -3.7111    0.1752    0.2128   2015.994     8    2.710
S066_19_3.8      19.1   -3.68078    0.93744    0.0    0.0     6.2945    -1.4445    0.1710    0.1985   2016.261     0    3.798
S067_19_3.6      19.1   -3.16984   -1.69589    0.0    0.0     3.1393     5.1068    0.1434    0.1437   2016.320     0    3.595
S055_19_3.8      19.1    3.07294    2.16264    0.0    0.0     4.9489    -0.8619    0.1798    0.1565   2016.030     0    3.758
S071_19_2.0      19.2   -1.85858   -0.69486    0.0    0.0     4.3531     1.3129    0.1323    0.1226   2016.450     8    1.984
S070_19_1.2      19.2    0.55415    1.09475    0.0    0.0    -3.5287    -2.1635    0.1554    0.2081   2016.099     8    1.227
S059_19_3.5      19.2    2.38450    2.56720    0.0    0.0     2.6998    -2.3210    0.1945    0.1374   2016.202     0    3.504
S063_19_2.0      19.3    1.99855   -0.09276    0.0    0.0    -0.0147    -2.1855    0.2130    0.2955   2016.281     8    2.001
S068_19_2.0      19.3    1.65855    1.19543    0.0    0.0     0.6937    -0.6853    0.1706    0.1393   2016.207     8    2.044
S075_19_3.0      19.4   -1.10236   -2.79406    0.0    0.0    -1.6575    -6.2289    0.1979    0.1728   2016.262     0    3.004
S072_19_2.8      19.3   -2.72093    0.65548    0.0    0.0    -0.3870     1.4397    0.1987    0.1619   2016.195     8    2.799
S080_19_2.2      19.4   -1.98248    1.04176    0.0    0.0     0.9044     1.9294    0.1733    0.2346   2015.879     8    2.240
S074_19_3.9      19.3   -3.54908    1.61584    0.0    0.0    -2.3593     6.0067    0.2109    0.1946   2016.516     0    3.900
S079_19_2.8      19.4   -0.96640    2.67799    0.0    0.0    -0.0602     4.2697    0.2031    0.1549   2016.176     8    2.847
S076_20_2.4      19.4   -1.19808   -2.09912    0.0    0.0     2.0080     1.0266    0.1805    0.0968   2016.242     8    2.417
S084_20_2.2      19.5   -1.97503   -1.04583    0.0    0.0    -0.7365    -7.3035    0.1589    0.1875   2016.021     8    2.235
S081_19_2.8      19.5    2.82441   -0.29576    0.0    0.0     5.2605    -5.9026    0.2731    0.3199   2015.832     8    2.840
S088_20_3.5      19.4   -2.71568    2.21311    0.0    0.0    -2.3248    -5.4281    0.1448    0.1541   2016.293     0    3.503
S083_20_0.9      19.4   -0.67397    0.63233    0.0    0.0     4.2924     2.3788    0.2504    0.2999   2016.025     8    0.924
